,Line #,Name,Description,Designator,Revision Status,Quantity,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Subtotal 1
,,APT1608SURCK,"LED, Red 630nm LED Indication - Discrete 1.95V 0603 (1608 Metric)","D1, D5, D17",,3,LED_APT1608_KNB,,,,,,
,,GRN,"LED,  Green 570nm LED Indication - Discrete 2V 0402 (1005 Metric)","D14, D19, D20, D21, D44, D45, D55, D62, D63, D64",,10,FP-SML-P11MTT86R_0402-MFG,,,,,,
,,VLMO1500-GS08,"LED,  Blue 470nm LED Indication - Discrete 2.7V 0402 (1005 Metric)","D13, D18",,2,FP-SML-P11MTT86R_0402-MFG,,,,,,
,,5.5A TRIP,"FUSE, Polymeric PTC Resettable Fuse 24V 3.3 A Ih Surface Mount 2920 (7351 Metric), Concave",F2,,1,0ZCF0330FF2C_BEL,,,,,,
,,25 Ohm @ 6A,"Ferrite Bead, 25 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 6A 4mOhm","FB2, FB17",,2,IND_FBMJ-08052012_TAY,,,,,,
,,30 Ohms 3A,"Ferrite Bead,  30 Ohms 1 Signal Line Ferrite Bead 0603 (1608 Metric) 3A 40mOhm","FB1, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12, FB13, FB14, FB15, FB16, FB18, FB19, FB20, FB21, FB22, FB23, FB24, FB25, FB26, FB27, FB28, FB33, FB34, FB35, FB36, FB37, FB39, FB57, FB58, FB59, FB60",,36,WE-CBF-0603,,,,,,
,,120 Ohm,"Ferrite Bead , 120 Ohms 1 Power Line 0402 (1005 Metric) 2A 55mOhm","FB31, FB32, FB45, FB46, FB51, FB52, FB53, FB54, FB55",,9,IND_BLM15_0402_MUR,,,,,,
,,CSD15380F3T,"MOSFET, 20-V N-Channel FemtoFET MOSFET 3-PICOSTAR -55 to 150","Q13, Q15",,2,TRXDFN69X60X35-3N,,,,,,
,,10K,"Resistor, 10K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R2, R44, R95, R112, R115, R116, R118, R121, R125, R128, R129, R131, R134, R141, R150, R151, R152, R170, R214",,19,RC0402N_YAG,,,,,,
,,4.7K,"Resistor, 4.7K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R40, R41, R142, R143, R165, R166",,6,RC0402N_YAG,,,,,,
,,10K,"RES, 10K ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film","R299, R308",,2,BO_CR0402,,,,,,
,,10K Ohm,"Resistor, 10K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R3, R31, R35, R49, R85, R100, R113, R326, R328, R342, R344",,11,RC0402N_YAG,,,,,,
,,29.4K,"Resistor,  29.4 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",R13,,1,STA_RMCF0402_STP,,,,,,
,,35mOhm,"Resistor, 35 mOhms ±1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Metal Element","R271, R283",,2,RESC6432X80N,,,,,,
,,10K Ohm,"Resistor, 10K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R5, R6, R15, R28, R34, R68, R70, R80, R83, R88, R89, R97, R103, R108, R110, R242, R249, R261, R265, R293, R302",,21,RC0402N_YAG,,,,,,
,,86.6K,"Resistor, 86.6 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thin Film","R55, R106, R206, R250, R296, R305",,6,0402,Yageo,RT0402FRE07100RL,Volume Production,Future Electronics,4303467,29
,,4.99K,"Resistor,4.99 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R58, R332, R350",,3,RC0402N_PAN,,,,,,
,,24K,"Resistor, 24 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film",R56,,1,RESC1005X35N,,,,,,
,,31.6K,"Resistor, 31.6K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R298, R307",,2,RC0402N_YAG,,,,,,
,,49.9,"Resistor, 49.9 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R17, R21, R76, R92, R98, R99, R203, R204, R205",,9,RC0402N_YAG,,,,,,
,,24.9,"Resistor, 24.9 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R36, R62, R75, R77, R94",,5,RES_CRCW_0402,,,,,,
,,1.8K,"Resistor, 1.8K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",R90,,1,RC0402N_YAG,,,,,,
,,5003,"Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP32, TP33, TP35, TP36, TP39, TP40",,32,KSTN-5003,,,,,,
,,MIC29502WU-TR,"IC, Linear Voltage Regulator IC Positive Adjustable 1 Output 5A TO-263-5","U82, U83",,2,TO-263-5_MCH,,,,,,
,,LTM8074EY#PBF,"IC, Non-Isolated PoL Module DC DC Converter 1 Output 0.8 ~ 12V 1.2A 3.2V - 40V Input","U3, U28, U73",,3,05-08-1566_ADI,,,,,,
,,LT1965IDD#PBF,"IC, Linear Voltage Regulator IC Positive Adjustable 1 Output 1.1A 8-DFN (3x3)","U86, U92",,2,DFN-8_DD_LIT,,,,,,
,,MAX31875R2TZS+T,"IC,Temperature Sensor Digital, Local -40°C ~ 125°C 12 b 4-WLP (0.84x0.84)","U13, U48, U51",,3,21-100151A_Z40C0+2_MXM,,,,,,
,,LTC1440IDDPBF,"Comparator with Voltage Reference CMOS, TTL 8-DFN (3x3)",U32,,1,DFN-8_DD_LIT,,,,,,
,,0.01uF,"CAP, 0.01 µF ±10% 50V Ceramic Capacitor X5R 0402 (1005 Metric)","C1, C492, C493, C505, C508",,5,G-155_MUR,,,,,,
,,0.1uF,"CAP, 0.1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C2, C41, C46, C50, C51, C54, C66, C67, C68, C69, C71, C77, C82, C83, C93, C105, C117, C119, C121, C123, C124, C125, C165, C255, C258, C263, C264, C265, C266, C267, C268, C269, C270, C271, C272, C273, C274, C275, C279, C280, C283, C284, C285, C288, C289, C290, C291, C292, C293, C297, C305, C306, C308, C425, C426, C427, C428, C434, C435, C454, C518, C526, C552, C557, C559",,65,G-155_MUR,,,,,,
,,470pF,"Capacitor, 470 pF ±5% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)","C3, C6",,2,CAPC17595_87N_KEM,,,,,,
,,47uF,"Capacitor, 
47 µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric)","C4, C5, C12, C15, C26, C29, C133, C253, C254, C301, C307, C311, C347, C348, C349, C351, C356, C357",,18,CAP_3216_TDK,,,,,,
,,1uF,"CAP, 1µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C7, C9, C92, C94, C101, C138, C139, C140, C148, C149, C151, C152, C153, C155, C261, C277, C298, C491, C495, C498, C500, C523",,22,G-155_MUR,,,,,,
,,22uF,"CAP, 22 µF ±20% 25V Ceramic Capacitor X5S 0603 (1608 Metric","C10, C70, C423, C424",,4,CAPC17795_95N_KEM,,,,,,
,,47uF,"Capacitor, 47 µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric)","C17, C18, C19, C37, C40, C42, C44, C45, C56, C59, C62, C64, C75, C76, C78, C79, C81, C84, C114, C115, C116, C126, C127, C128, C129, C135, C136, C166, C169, C170, C171, C176, C177, C181, C186, C188, C190, C194, C197, C199, C302, C303, C304, C323, C325, C327, C328, C331, C335, C336, C340, C341, C352, C353, C354, C363, C364, C365, C377, C378, C379, C380, C388, C389, C390, C393, C394, C395, C396, C400, C401, C405, C410, C412, C414, C418, C421, C436, C439, C440, C441, C442, C444, C445, C446, C449, C450, C451, C452, C456, C457, C461, C466, C468, C470, C474, C476, C479",,98,CAP_GRM31CR_MUR,,,,,,
,,10uF,"CAP, 10 µF ±20% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C49, C110, C144, C145, C387, C490, C496, C497, C499, C503, C506, C507, C511, C512, C514",,15,CAP_GRM188_MUR,,,,,,
,,4.7uF,"CAP, 4.7 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)","C60, C86, C87, C89, C154, C157, C382, C522",,8,G-155_MUR,Murata,GRM155R62A104ME14D,Volume Production,Arrow Electronics,GRM155R62A104ME14D,74
,,47uF,"Capacitor,47 µF ±10% 16V Ceramic Capacitor X5R 1210 (3225 Metric)","C73, C74",,2,CAP_CL32_SAM,,,,,,
,,5pF,"CAP, 5 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",C98,,1,CC0402N_YAG,Murata,GJM1555C1H5R0BB01D,Volume Production,Digikey,490-8103-1-ND,0.14
,,10pF,"CAP, 10pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C201, C203, C206, C214, C216, C217, C219, C487, C488, C489, C494, C501, C502, C509, C524",,15,G-155_MUR,Murata,GRM155R62A104ME14D,Volume Production,Arrow Electronics,GRM155R62A104ME14D,74
,,0.1uF,"CAP, 0.1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C212, C225",,2,G-155_MUR,,,,,,
,,4.7uF,"Capacitor, 4.7 µF ±20% 16V Ceramic Capacitor X5R 0402 (1005 Metric)","C213, C226",,2,CAP_0402E_AVX,,,,,,
,,10SVP47M,Conductive Polymer Aluminum Solid Capacitors (OS-CON) 47uF ±20% 10V,"C256, C257",Up to date,2,FP-OS-CON-SMT-C6-MFG,Panasonic,10SVP47M,Volume Production,Farnell,2354675,1.08041
,,2.2uF,"CAP,  2.2 µF ±20% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C259, C260",,2,G-155_MUR,,,,,,
,,10uF,"CAP, 10 µF ±20% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C262, C287",,2,CAP_GRM188_MUR,,,,,,
,,120uF,Molded Tantalum Polymer Capacitor 120uF 20% 6.3V life 1000Hours SMD 1411,"C276, C278",,2,FP-POSCAP-B2-MFG,,,,,,
,,6pF,"Capcitor 6 pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C281, C282, C295, C296",,4,G-155_MUR,Murata,GRM1555C1H6R0CA01D,Not Recommended for New Design,Mouser,81-GRM1555C1H6R0CA1D,0.26
,,1nF,"CAP,  1000 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)",C294,,1,CAPC17795_95N_KEM,,,,,,
,,GRM188R61E106MA73D,"CAP, CERM, 10 µF, 25 V, +/- 20%, X5R, 0603","C299, C300",,2,0603,Murata,GRM188R61E106MA73D,Volume Production,Digikey,490-7202-1-ND,0.52
,,4.7uF,"CAP, 4.7 µF ±20% 16V Ceramic Capacitor X5R 0402 (1005 Metric)",C312,,1,CAP_CC0402_YAG,Murata,GRM155R62A104ME14D,Volume Production,Arrow Electronics,GRM155R62A104ME14D,74
,,4700pF,Capacitor  4700 pF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric),C333,,1,CC0402N_YAG,,,,,,
,,22pF,"Capacitor 22 pF ±5% 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",C337,,1,CAPC10555_55N_KEM,,,,,,
,,10uF,"CAP, 0.1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)",C338,,1,G-155_MUR,,,,,,
,,0.1uF 50V,CAP CER 0.1UF 50V X7R 0603,"C367, C368, C482, C483, C484, C485, C486",,7,CAPC1608X09N,,,,Digi-Key,399-C0603C104K5RAC7867DKR-ND,
,,82uF,"Capacitor, 82 µF 25 V Aluminum - Polymer Capacitors Radial, Can - SMD 25mOhm 1000 Hrs @ 125°C","C429, C430, C431, C432, C433",,5,CAP_25SVPK82M,,,,,,
,,0.1uF,Capacitor 0.1 µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric),"C517, C519, C520, C521",,4,CAP_0603_X_WAL,,,,,,
,,SMD110PL-TP,Diode 100 V 1A Surface Mount SOD-123FL,"CR1, CR2",,2,SOD-123FL_MCC,MCC,SMD110PL-TP,Volume Production,Digikey,SMD110PL-TPMSCT-ND,0.36
,,ESD321DYAR,Diode 6.3V (Typ) Clamp 6A (8/20µs) Ipp Tvs Diode Surface Mount SOT-5X3,"CR3, CR4, CR5, CR6, CR7, CR8, CR9, CR10, CR11, CR12, CR13",,11,SOT5x3_DYA_TEX,Texas Instruments,ESD321DYAR,Unknown,Mouser,595-ESD321DYAR,0.451
,,B240A-E3/5AT,DIODE SCHOTTKY 40V 2A DO214AC,"D2, D12",,2,DO-214AC UNIDIRECTIONAL,Vishay Semiconductors,B240A-E3/61T,Volume Production,Digikey,B240A-E3/61TGICT-ND,0.76
,,1N4148WX-TP,"Diode, 75 V 150mA Surface Mount SOD-323","D3, D15",,2,CR_SOD323_MCC,,,,,,
,,Green Vf 2.0,LED GREEN 0603 SMD,"D4, D10, D11, D22, D24, D48, D50, D51, D53, D56, D57",,11,LED0603_GREEN,Vishay Lite-On,LTST-C191KGKT,Volume Production,Digikey,160-1446-1-ND,1.1
,,B240A-E3/5AT,DIODE SCHOTTKY 40V 2A DO214AC,"D6, D16, D43, D46, D47, D49, D52, D54, D58, D59, D60",,11,DO-214AC UNIDIRECTIONAL,Vishay Semiconductors,B240A-E3/61T,Volume Production,Digikey,B240A-E3/61TGICT-ND,2.805
,,LTST-C191KSKT,LED Yellow 591nm LED Indication - Discrete 2.1V 0603 (1608 Metric),D7,,1,LED_LTST-C191KRKT_LTO,Vishay Lite-On,LTST-C191KSKT,Volume Production,Digikey,160-1448-1-ND,0.15
,,LTST-C190KFKT,"LED, Orange 605nm LED Indication - Discrete 2V 0603 (1608 Metric)","D8, D23",,2,LEDM1608X80,Vishay Lite-On,LTSTC190KFKT,Unknown,Avnet,LTST-C190KFKT,93.12
,,60V 7A,DIODE SCHOTTKY 60V 7A POWERDI5,D9,,1,Power DI 5,Diodes,PDS760-13,Volume Production,Digikey,PDS760DICT-ND,1.05
,,3.2V,"Diode,Zener Diode 3.2 V 1 W ±6.67% Surface Mount PMDTM","D25, D26",,2,DIO_PDZVTFT_ROM,,,,,,
,,RED,"LED, Red 630nm LED Indication - Discrete 1.95V 0603 (1608 Metric)","D27, D28, D30, D31, D34, D35, D36, D37",,8,LED_APT1608_KNB,,,,,,
,,BLUE,"LED, Blue 470nm LED Indication - Discrete 3.2V 0603 (1608 Metric)","D29, D38",,2,LED_150060B_WRE,,,,,,
,,GRN,"LED, Green 573nm LED Indication - Discrete 2V 0603 (1608 Metric)","D32, D33, D39, D40",,4,LED_150060B_WRE,,,,,,
,,TVS 24V,TVS DIODE 24VWM 38.9VC DO214AC,D41,,1,DO-214AC BIDIRECTIONAL,Littelfuse,SMAJ24CA,Volume Production,Digikey,SMAJ24CALFDKR-ND,0.31
,,Green Vf 2.0,LED GREEN 0603 SMD,D42,,1,LED0603_GREEN,Vishay Lite-On,LTST-C191KGKT,Volume Production,Digikey,160-1446-1-ND,0.15
,,4.55V,Zener Diode 4.55 V 1 W ±5.81% Surface Mount PMDTM,D61,,1,DIO_PDZVTFT_ROM,Microchip,TCM810SVNB713,Volume Production,Digikey,TCM810SVNB713CT-ND,0.46
,,5.5A TRIP,"FUSE, Polymeric PTC Resettable Fuse 24V hold 3.3 A Ih Surface Mount 2920 (7351 Metric), Concave",F1,,1,0ZCF0330FF2C_BEL,,,,,,
,,0ZCG0050AF2C,"FUSE, Polymeric PTC Resettable Fuse 30V 500 mA Ih Surface Mount 1812 (4532 Metric), Concave",F3,,1,0ZCG_BEL,,,,,,
,,47053-1000,CONN HEADER VERT 4POS 2.54MM,"FAN1, FAN2",Up to date,2,FP-470531000-MFG,Molex,47053-1000,Volume Production,Avnet,0470531000,0.62312
,,600 Ohm,"Ferrite Bead , 600 Ohms @ 100 MHz 0402 (1005 Metric) 300mA 520mOhm","FB29, FB30",,2,IND_BLM15_0402_MUR,,,,,,
,,80 Ohms 1A,"Ferrite Bead,  80 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0402 (1005 Metric) 1A 100mOhm","FB38, FB40, FB41, FB42, FB43, FB44, FB47, FB48, FB49, FB50, FB56",,11,0402,,,,,,
,,Fiducial,Fiducial mark.  There is nothing to buy or mount.,"FID1, FID2, FID3",,3,Fiducial10-20,,,,,,
,,BLE32PN300SN1L,"Ferrite Bead, 30 Ohms @ 100MHz 1 Power Line Ferrite Bead 1210 _3225 Metric_ 10A 1.6mOhm","FL1, FL2",,2,BEADC3225X220N,,,,Future Electronics,2109477,
,,T1M-05-GF-DV-K,"Connector Header Surface Mount 10 position 0.039"" (1.00mm)","J1, J2, J3, J4",,4,SAMTEC_T1M-05-X-DV,,,,Avnet,T1M-05-GF-DV-K,
,,T1M-02-F-SH-L-K,CONN HEADER SMD R/A 2POS 1MM,J5,,1,SAMTEC_T1M-02-F-SH-L-K,,,,,,
,,61300411121,"4 pins, 1 row, straight, gold plating",J6,,1,61300411121,,,,,,
,,IPL1-104-01-L-D-RA,"Connector Header Through Hole, Right Angle 8 position 0.100"" (2.54mm)",J8,,1,SAMTEC_IPL1-104-01-L-D-RA,,,,,,
,,0022232021,CONN HEADER VERT 2POS 2.54MM,"J9, J10, J11",,3,CONN_A-6373-02A_MOL,,,,,,
,,GSB1CA11101DSHR,"USB2.0, Type C, Vertical, Height 6.40mm, Dual Row Surface Mount",J12,,1,AMPHENOL_GSB1CA11101DSHR,,,,,,
,,10144041-10011LF,"MinitekÂ®0.8mm, Wire to Board connector, R/ASMTHeader, 10Positions, Tin Plating, Cream Color, Halogen Free, Glow Wire Compatible","J13, J14",Up to date,2,AMPHENOL_10144041-10011LF,,,,,,
,,3.3uH,"Inductor 3.3 µH Shielded Drum Core, Wirewound Inductor 3.5 A 20mOhm Max Nonstandard",L1,,1,IND_BOURNS_SRR6038,,,,,,
,,CMT908-H1,CMT Series 2 mH 7.5 A 0.02 Ohm DCR Through Hole Vertical Common Mode Inductor,L2,,1,IND_CMT908-H1,,,,,,
,,ACM7060-701-2PL-TL01,2 Line Common Mode Choke Surface Mount 700 Ohms @ 100 MHz 4A DCR 15mOhm,"L3, L4, L5, L6, L7, L8, L10, L11",,8,IND_ACM7060_TDK,TDK,ACM7060-701-2PL-TL01,Volume Production,Digikey,445-2215-1-ND,11.36
,,1kohm @ 100kHz 6A 14mOhm,CMC 6A 2LN 1K OHM SMD,L9,,1,"Choke, ACM1211-102-2PL-TL01",TDK,ACM1211-102-2PLTL01,Unknown,Digikey,445-2213-1-ND,1.7
,,LTST-C235KGKRKT,"LED, Green, Red 571nm Green, 631nm Red LED Indication - Discrete 2V Green, 2V Red 1206 (3216 Metric)","LED1, LED2, LED3",,3,LTST-C235KGKRKT_LTO,,,,,,
,,577202B00000G,"HEAT SINK TO-220 .500"" COMPACT","MP1, MP2",,2,FP-577202B00000G-MFG,,,,,,
,,61030621121,"Connector Header Surface Mount 6 position 0.100"" (2.54mm)",P1,,1,61030621121,,,,,,
,,BSS138W-7-F,N-Channel 50 V 200mA (Ta) 200mW (Ta) Surface Mount SOT-323,Q1,,1,SOT-323_DIO,,,,,,
,,FSB560A,FSB560A Bipolar Transistors - BJT NPN Transistor Low Saturation,"Q2, Q3, Q4",,3,FP-527AG-MFG,ON Semiconductor / Fairchild,FSB560A,Volume Production,Mouser,512-FSB560A,1.8
,,MMBT3904,"NPN General Purpose Amplifier, 40 V, 0.2 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel","Q5, Q8",,2,FAIR-SOT23-3_V,ON Semiconductor / Fairchild,MMBT3904,Obsolete,Farnell,9846727,0.87881
,,BSZ15DC02KDHXTMA1,"IC Mosfet Array 20V 5.1A, 3.2A 2.5W Surface Mount PG-TSDSON-8-FL","Q21, Q22",,2,PG-TSDSON-8_INF,,,,,,
,,562,"Resistor, 562 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R1, R8, R10, R12, R19, R20, R81, R101, R111, R157, R289, R291",,12,RC0402N_YAG,Yageo,RC0402FR-07562RL,Volume Production,Future Electronics,9531203,7
,,510,"RES,510 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R4, R7",,2,STA_RMCF0402_STP,Yageo,RC0402JR-07510RL,Volume Production,Digikey,311-510JRCT-ND,0.07
,,25.5K,"RES, 25.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R9, R78",,2,STA_RMCF0402_STP,,,,,,
,,16K,"RES, 16 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",R11,,1,STA_RMCF0402_STP,,,,,,
,,100K,"Resistor, 100K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R14, R57, R72, R79, R82, R84, R96, R102, R107, R178, R184, R185, R188, R189, R264",,15,RC0402N_YAG,Yageo,RC0402FR-07100KL,Volume Production,Future Electronics,6468466,9
,,10K,"Resistor, 10kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R16, R18, R22, R23, R24, R32, R61, R174, R175, R176, R179, R180, R181, R198, R199, R286, R288, R290, R306, R309",,20,RC0402N_YAG,Samsung,RC1005F103CS,Volume Production,Digikey,1276-3431-1-ND,0.78
,,330,"Resistor, 330 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R25, R27",,2,RC0402N_YAG,,,,Digikey,311-330LRCT-ND,
,,49.9,"Resistor, 49.9 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R26, R38, R53",,3,RC0402N_YAG,,,,,,
,,4.99K,"Resistor,4.99 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R29, R74, R120",,3,RC0402N_PAN,,,,,,
,,45.3K,"RES,  45.3 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",R30,,1,STA_RMCF0402_STP,,,,,,
,,5mOhm,"Resistor 5 mOhms ±1% 1.5W Chip Resistor 2010 (5025 Metric) Current Sense, Moisture Resistant Metal Element","R33, R73, R109, R241, R262, R292, R301",,7,STA_CSNL2010>=3.1_STP,Stackpole Electronics,CSNL2010FT5L00,Volume Production,Digikey,CSNL2010FT5L00CT-ND,4.32
,,3.32K,"Resistor,3.32 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",R37,,1,STA_RMCF0402_STP,,,,,,
,,3K,"Resistor 3 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thin Film","R39, R42, R47, R48, R130, R133, R135, R158, R159, R207, R251, R253, R254, R255, R268, R269, R270, R273, R274, R275, R276, R277, R278, R279, R280, R281, R282, R356",,28,STA_RMCF0402_STP,Panasonic,ERA-2AEB302X,Volume Production,Mouser,667-ERA-2AEB302X,2.436
,,1K,"Resistor, 1K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R43, R87, R93, R117, R122, R201, R202, R324, R325, R327, R329, R330, R333, R334, R336, R337, R338, R340, R341, R343, R345, R346, R348, R349, R352, R353, R354",,27,RC0402N_YAG,,,,,,
,,69.8K,"Resistor, 69.8K Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",R45,,1,RC0402N_YAG,Yageo,RC0402FR-0769K8L,Volume Production,Future Electronics,7900491,7
